rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
HOMICIDIO DOLOSO,-3,2021-06,2022-06,9,6,4141,REVOLUCION-ALAMEDA,2020-07,2021-07
HOMICIDIO DOLOSO,-1,2021-06,2022-06,4,3,7814,ROMA,2020-07,2021-07
HOMICIDIO DOLOSO,-3,2021-06,2022-06,3,0,7894,SAN ANGEL,2020-07,2021-07
HOMICIDIO DOLOSO,-3,2021-06,2022-06,10,7,23185,SAN JERONIMO,2020-07,2021-07
HOMICIDIO DOLOSO,-12,2021-06,2022-06,31,19,37989,SANTA CRUZ,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,18,20,40065,SANTA FE,2020-07,2021-07
HOMICIDIO DOLOSO,-1,2021-06,2022-06,9,8,31666,SOTELO,2020-07,2021-07
HOMICIDIO DOLOSO,-6,2021-06,2022-06,17,11,18220,TACUBA,2020-07,2021-07
HOMICIDIO DOLOSO,-9,2021-06,2022-06,11,2,13102,TACUBAYA,2020-07,2021-07
HOMICIDIO DOLOSO,-2,2021-06,2022-06,6,4,14638,TAXQUEÑA,2020-07,2021-07
HOMICIDIO DOLOSO,3,2021-06,2022-06,2,5,13235,TECOMITL,2020-07,2021-07
HOMICIDIO DOLOSO,-6,2021-06,2022-06,20,14,25702,TEOTONGO,2020-07,2021-07
HOMICIDIO DOLOSO,14,2021-06,2022-06,25,39,43511,TEPEPAN,2020-07,2021-07
HOMICIDIO DOLOSO,-4,2021-06,2022-06,5,1,9609,TEPEYAC,2020-07,2021-07
HOMICIDIO DOLOSO,-22,2021-06,2022-06,45,23,36811,TEZONCO,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,15,17,17800,TICOMAN,2020-07,2021-07
HOMICIDIO DOLOSO,-7,2021-06,2022-06,13,6,18974,TLACOTAL,2020-07,2021-07
HOMICIDIO DOLOSO,-1,2021-06,2022-06,13,12,16096,TLATELOLCO,2020-07,2021-07
HOMICIDIO DOLOSO,-1,2021-06,2022-06,6,5,27528,UNIVERSIDAD,2020-07,2021-07
HOMICIDIO DOLOSO,-5,2021-06,2022-06,10,5,24813,XOTEPINGO,2020-07,2021-07
HOMICIDIO DOLOSO,2,2021-06,2022-06,20,22,31280,ZAPOTITLA,2020-07,2021-07
HOMICIDIO DOLOSO,-4,2021-06,2022-06,4,0,8502,ZARAGOZA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-19,2021-06,2022-06,24,5,22143,ABASTO-REFORMA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,5,5,31805,ALPES,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,4,2021-06,2022-06,0,4,4441,ANGEL-ZONA ROSA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-21,2021-06,2022-06,28,7,30506,ARAGON,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,3,4,22309,ARENAL,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-4,2021-06,2022-06,13,9,12999,ASTURIAS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-2,2021-06,2022-06,7,5,9110,BUENAVISTA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,0,0,13501,CHAPULTEPEC,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-5,2021-06,2022-06,10,5,13900,CHURUBUSCO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,4,5,23963,CLAVERIA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,1,2,9495,COAPA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-5,2021-06,2022-06,9,4,12135,CONGRESO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,12,13,15715,CONSULADO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-1,2021-06,2022-06,4,3,10129,CORREDOR-CENTRO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-2,2021-06,2022-06,2,0,14705,COYOACAN,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,0,1,24009,CUAJIMALPA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-8,2021-06,2022-06,16,8,30453,CUAUTEPEC,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,4,2021-06,2022-06,3,7,20511,CUCHILLA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-4,2021-06,2022-06,8,4,11851,CUITLAHUAC,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,1,2,18589,CULHUACAN,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,2,3,7971,DEL VALLE,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,4,2021-06,2022-06,3,7,24310,DINAMO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-2,2021-06,2022-06,2,0,20452,EL YAQUI,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-2,2021-06,2022-06,12,10,32788,ESTRELLA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,7,4,38354,FUENTE,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,9,6,19129,GRANJAS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-6,2021-06,2022-06,13,7,21186,HORMIGA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,9,2021-06,2022-06,7,16,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,8,8,16877,IZTACCIHUATL,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,5,5,30260,LA NORIA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,5,5,14968,LA RAZA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,7,4,16393,LINDAVISTA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-1,2021-06,2022-06,4,3,12330,MERCED-BALBUENA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,3,3,24021,MILPA ALTA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-1,2021-06,2022-06,6,5,5681,MIXCALCO-HERALDO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,4,2021-06,2022-06,8,12,33579,MIXQUIC,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-4,2021-06,2022-06,11,7,12102,MOCTEZUMA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-1,2021-06,2022-06,4,3,12649,MORELOS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,5,2,7856,NAPOLES,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,2,3,9808,NARVARTE-ALAMOS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-1,2021-06,2022-06,1,0,6406,NATIVITAS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,9,2021-06,2022-06,416,425,,NO ESPECIFICADO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,4,2021-06,2022-06,15,19,24085,OASIS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,7,4,47637,PADIERNA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,12,9,13284,PANTITLAN,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-17,2021-06,2022-06,28,11,45966,PLATEROS,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-1,2021-06,2022-06,1,0,5611,POLANCO-CASTILLO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,2,2,12243,PORTALES,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-7,2021-06,2022-06,17,10,36217,PRADERA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,16,2021-06,2022-06,14,30,43116,QUETZAL,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-7,2021-06,2022-06,13,6,30408,QUIROGA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,0,1,4141,REVOLUCION-ALAMEDA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,6,6,7814,ROMA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-7,2021-06,2022-06,7,0,7894,SAN ANGEL,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-4,2021-06,2022-06,9,5,23185,SAN JERONIMO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-10,2021-06,2022-06,21,11,37989,SANTA CRUZ,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-4,2021-06,2022-06,14,10,40065,SANTA FE,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-2,2021-06,2022-06,3,1,31666,SOTELO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-7,2021-06,2022-06,19,12,18220,TACUBA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-4,2021-06,2022-06,8,4,13102,TACUBAYA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,5,5,14638,TAXQUEÑA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,1,1,13235,TECOMITL,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,8,8,25702,TEOTONGO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,11,12,43511,TEPEPAN,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-5,2021-06,2022-06,8,3,9609,TEPEYAC,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-18,2021-06,2022-06,31,13,36811,TEZONCO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,0,2021-06,2022-06,2,2,17800,TICOMAN,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,7,8,18974,TLACOTAL,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,7,4,16096,TLATELOLCO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-6,2021-06,2022-06,12,6,27528,UNIVERSIDAD,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,-3,2021-06,2022-06,7,4,24813,XOTEPINGO,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,1,2021-06,2022-06,7,8,31280,ZAPOTITLA,2020-07,2021-07
LESIONES POR ARMA DE FUEGO,2,2021-06,2022-06,1,3,8502,ZARAGOZA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,22143,ABASTO-REFORMA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,31805,ALPES,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,0,1,4441,ANGEL-ZONA ROSA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,1,1,30506,ARAGON,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,2,2,22309,ARENAL,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,5,3,12999,ASTURIAS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,1,1,9110,BUENAVISTA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,13501,CHAPULTEPEC,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,13900,CHURUBUSCO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,23963,CLAVERIA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,9495,COAPA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-4,2021-06,2022-06,5,1,12135,CONGRESO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,2,3,15715,CONSULADO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,10129,CORREDOR-CENTRO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,14705,COYOACAN,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,24009,CUAJIMALPA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,30453,CUAUTEPEC,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,20511,CUCHILLA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,11851,CUITLAHUAC,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,18589,CULHUACAN,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,3,1,7971,DEL VALLE,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,24310,DINAMO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,20452,EL YAQUI,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,32788,ESTRELLA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,38354,FUENTE,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,19129,GRANJAS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,2,0,21186,HORMIGA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,2,0,16877,IZTACCIHUATL,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,30260,LA NORIA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,14968,LA RAZA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-3,2021-06,2022-06,4,1,16393,LINDAVISTA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-8,2021-06,2022-06,8,0,12330,MERCED-BALBUENA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,24021,MILPA ALTA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-3,2021-06,2022-06,3,0,5681,MIXCALCO-HERALDO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,33579,MIXQUIC,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,2,2,12102,MOCTEZUMA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,12649,MORELOS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,2,0,7856,NAPOLES,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,2,2,9808,NARVARTE-ALAMOS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,2,2021-06,2022-06,1,3,6406,NATIVITAS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,0,1,,NO ESPECIFICADO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,1,1,24085,OASIS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,47637,PADIERNA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-3,2021-06,2022-06,6,3,13284,PANTITLAN,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,45966,PLATEROS,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,0,1,5611,POLANCO-CASTILLO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,12243,PORTALES,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,36217,PRADERA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,43116,QUETZAL,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,30408,QUIROGA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,4,3,4141,REVOLUCION-ALAMEDA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,2,2021-06,2022-06,0,2,7814,ROMA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,0,1,7894,SAN ANGEL,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,23185,SAN JERONIMO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,37989,SANTA CRUZ,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,40065,SANTA FE,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,31666,SOTELO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,2,2021-06,2022-06,0,2,18220,TACUBA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,2,0,13102,TACUBAYA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,14638,TAXQUEÑA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,13235,TECOMITL,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,0,1,25702,TEOTONGO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,43511,TEPEPAN,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-1,2021-06,2022-06,1,0,9609,TEPEYAC,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,36811,TEZONCO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,17800,TICOMAN,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,3,2021-06,2022-06,0,3,18974,TLACOTAL,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,1,2021-06,2022-06,0,1,16096,TLATELOLCO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,27528,UNIVERSIDAD,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,24813,XOTEPINGO,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,0,2021-06,2022-06,0,0,31280,ZAPOTITLA,2020-07,2021-07
ROBO A BORDO DE METRO C.V.,-2,2021-06,2022-06,2,0,8502,ZARAGOZA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,5,2021-06,2022-06,4,9,22143,ABASTO-REFORMA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,31805,ALPES,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,10,2021-06,2022-06,11,21,4441,ANGEL-ZONA ROSA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,7,2021-06,2022-06,9,16,30506,ARAGON,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-15,2021-06,2022-06,43,28,22309,ARENAL,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,20,2021-06,2022-06,41,61,12999,ASTURIAS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,15,2021-06,2022-06,45,60,9110,BUENAVISTA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,13501,CHAPULTEPEC,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-1,2021-06,2022-06,2,1,13900,CHURUBUSCO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,5,5,23963,CLAVERIA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,9495,COAPA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,10,2021-06,2022-06,47,57,12135,CONGRESO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-2,2021-06,2022-06,5,3,15715,CONSULADO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,20,2021-06,2022-06,13,33,10129,CORREDOR-CENTRO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-1,2021-06,2022-06,2,1,14705,COYOACAN,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,24009,CUAJIMALPA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,1,2021-06,2022-06,0,1,30453,CUAUTEPEC,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,1,2021-06,2022-06,4,5,20511,CUCHILLA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,11851,CUITLAHUAC,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,18589,CULHUACAN,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,6,2021-06,2022-06,11,17,7971,DEL VALLE,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,24310,DINAMO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,20452,EL YAQUI,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-8,2021-06,2022-06,9,1,32788,ESTRELLA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,38354,FUENTE,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-4,2021-06,2022-06,7,3,19129,GRANJAS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,11,2021-06,2022-06,3,14,21186,HORMIGA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
