rows/crime,rows/difference,rows/end_period1,rows/end_period2,rows/period1_count,rows/period2_count,rows/population,rows/sector,rows/start_period1,rows/start_period2
ROBO A BORDO DE METRO S.V.,-1,2021-06,2022-06,5,4,16877,IZTACCIHUATL,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,30260,LA NORIA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,14968,LA RAZA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,10,2021-06,2022-06,33,43,16393,LINDAVISTA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,7,2021-06,2022-06,14,21,12330,MERCED-BALBUENA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,24021,MILPA ALTA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,25,2021-06,2022-06,29,54,5681,MIXCALCO-HERALDO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-4,2021-06,2022-06,4,0,33579,MIXQUIC,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,3,2021-06,2022-06,9,12,12102,MOCTEZUMA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-3,2021-06,2022-06,4,1,12649,MORELOS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,7,7,7856,NAPOLES,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,5,2021-06,2022-06,11,16,9808,NARVARTE-ALAMOS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-4,2021-06,2022-06,8,4,6406,NATIVITAS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,104,2021-06,2022-06,61,165,,NO ESPECIFICADO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,6,2021-06,2022-06,6,12,24085,OASIS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,47637,PADIERNA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,15,2021-06,2022-06,31,46,13284,PANTITLAN,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,3,3,45966,PLATEROS,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,1,2021-06,2022-06,8,9,5611,POLANCO-CASTILLO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-6,2021-06,2022-06,10,4,12243,PORTALES,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,36217,PRADERA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,1,2021-06,2022-06,0,1,43116,QUETZAL,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,3,3,30408,QUIROGA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,61,2021-06,2022-06,60,121,4141,REVOLUCION-ALAMEDA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-1,2021-06,2022-06,15,14,7814,ROMA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-2,2021-06,2022-06,7,5,7894,SAN ANGEL,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,23185,SAN JERONIMO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,37989,SANTA CRUZ,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,40065,SANTA FE,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,31666,SOTELO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,5,2021-06,2022-06,32,37,18220,TACUBA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-5,2021-06,2022-06,31,26,13102,TACUBAYA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,1,2021-06,2022-06,7,8,14638,TAXQUEÑA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,13235,TECOMITL,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-1,2021-06,2022-06,2,1,25702,TEOTONGO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,43511,TEPEPAN,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,14,2021-06,2022-06,4,18,9609,TEPEYAC,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,7,2021-06,2022-06,11,18,36811,TEZONCO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,3,2021-06,2022-06,0,3,17800,TICOMAN,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,5,2021-06,2022-06,6,11,18974,TLACOTAL,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,3,2021-06,2022-06,2,5,16096,TLATELOLCO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,7,2021-06,2022-06,9,16,27528,UNIVERSIDAD,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,0,2021-06,2022-06,0,0,24813,XOTEPINGO,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-5,2021-06,2022-06,5,0,31280,ZAPOTITLA,2020-07,2021-07
ROBO A BORDO DE METRO S.V.,-2,2021-06,2022-06,11,9,8502,ZARAGOZA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,8,2021-06,2022-06,8,16,22143,ABASTO-REFORMA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,5,2021-06,2022-06,0,5,31805,ALPES,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,0,0,4441,ANGEL-ZONA ROSA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-6,2021-06,2022-06,9,3,30506,ARAGON,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,6,6,22309,ARENAL,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,2,0,12999,ASTURIAS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,0,0,9110,BUENAVISTA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,0,0,13501,CHAPULTEPEC,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,4,2,13900,CHURUBUSCO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,3,4,23963,CLAVERIA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,3,3,9495,COAPA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,1,2,12135,CONGRESO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,2,0,15715,CONSULADO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,0,0,10129,CORREDOR-CENTRO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,3,2021-06,2022-06,0,3,14705,COYOACAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,0,0,24009,CUAJIMALPA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,3,5,30453,CUAUTEPEC,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,0,1,20511,CUCHILLA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,0,1,11851,CUITLAHUAC,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,7,9,18589,CULHUACAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,0,1,7971,DEL VALLE,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,1,0,24310,DINAMO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,0,0,20452,EL YAQUI,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,7,7,32788,ESTRELLA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,0,2,38354,FUENTE,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,3,2021-06,2022-06,4,7,19129,GRANJAS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,5,5,21186,HORMIGA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,1,1,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,8,2021-06,2022-06,7,15,16877,IZTACCIHUATL,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,3,2,30260,LA NORIA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,2,2,14968,LA RAZA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,4,2021-06,2022-06,3,7,16393,LINDAVISTA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,6,4,12330,MERCED-BALBUENA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,0,2,24021,MILPA ALTA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,1,0,5681,MIXCALCO-HERALDO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,12,2021-06,2022-06,10,22,33579,MIXQUIC,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,8,7,12102,MOCTEZUMA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,1,0,12649,MORELOS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,5,2021-06,2022-06,2,7,7856,NAPOLES,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,0,1,9808,NARVARTE-ALAMOS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,1,1,6406,NATIVITAS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,15,2021-06,2022-06,14,29,,NO ESPECIFICADO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,31,2021-06,2022-06,24,55,24085,OASIS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,0,1,47637,PADIERNA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,22,22,13284,PANTITLAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,6,7,45966,PLATEROS,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,1,1,5611,POLANCO-CASTILLO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,1,1,12243,PORTALES,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,4,2,36217,PRADERA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,13,13,43116,QUETZAL,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,11,2021-06,2022-06,9,20,30408,QUIROGA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-3,2021-06,2022-06,3,0,4141,REVOLUCION-ALAMEDA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,1,0,7814,ROMA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,2,3,7894,SAN ANGEL,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,0,2,23185,SAN JERONIMO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,16,2021-06,2022-06,7,23,37989,SANTA CRUZ,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,5,2021-06,2022-06,4,9,40065,SANTA FE,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,5,5,31666,SOTELO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-5,2021-06,2022-06,11,6,18220,TACUBA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,2,0,13102,TACUBAYA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,5,7,14638,TAXQUEÑA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,0,2,13235,TECOMITL,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,14,2021-06,2022-06,12,26,25702,TEOTONGO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,13,13,43511,TEPEPAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,4,4,9609,TEPEYAC,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,7,2021-06,2022-06,15,22,36811,TEZONCO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,0,2021-06,2022-06,3,3,17800,TICOMAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,2,2021-06,2022-06,16,18,18974,TLACOTAL,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-1,2021-06,2022-06,1,0,16096,TLATELOLCO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-2,2021-06,2022-06,2,0,27528,UNIVERSIDAD,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,-3,2021-06,2022-06,4,1,24813,XOTEPINGO,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,8,2021-06,2022-06,10,18,31280,ZAPOTITLA,2020-07,2021-07
ROBO A BORDO DE MICROBUS C.V.,1,2021-06,2022-06,4,5,8502,ZARAGOZA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,10,2021-06,2022-06,2,12,22143,ABASTO-REFORMA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,3,2021-06,2022-06,2,5,31805,ALPES,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,0,2,4441,ANGEL-ZONA ROSA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,1,1,30506,ARAGON,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,2,6,22309,ARENAL,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,12999,ASTURIAS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,9110,BUENAVISTA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,0,2,13501,CHAPULTEPEC,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,1,1,13900,CHURUBUSCO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-2,2021-06,2022-06,2,0,23963,CLAVERIA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,6,2021-06,2022-06,0,6,9495,COAPA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,1,2,12135,CONGRESO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,15715,CONSULADO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,10129,CORREDOR-CENTRO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,7,2021-06,2022-06,0,7,14705,COYOACAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,24009,CUAJIMALPA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-4,2021-06,2022-06,4,0,30453,CUAUTEPEC,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,20511,CUCHILLA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,3,2021-06,2022-06,0,3,11851,CUITLAHUAC,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,3,2021-06,2022-06,2,5,18589,CULHUACAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,0,2,7971,DEL VALLE,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,0,4,24310,DINAMO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-1,2021-06,2022-06,1,0,20452,EL YAQUI,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,2,3,32788,ESTRELLA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,1,5,38354,FUENTE,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-1,2021-06,2022-06,2,1,19129,GRANJAS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,21186,HORMIGA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,10,2021-06,2022-06,0,10,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,16877,IZTACCIHUATL,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,2,3,30260,LA NORIA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,14968,LA RAZA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,1,3,16393,LINDAVISTA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,12330,MERCED-BALBUENA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,24021,MILPA ALTA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-1,2021-06,2022-06,1,0,5681,MIXCALCO-HERALDO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,1,5,33579,MIXQUIC,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,12102,MOCTEZUMA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,12649,MORELOS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,1,3,7856,NAPOLES,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,9808,NARVARTE-ALAMOS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,3,2021-06,2022-06,2,5,6406,NATIVITAS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,29,2021-06,2022-06,12,41,,NO ESPECIFICADO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,2,6,24085,OASIS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,5,2021-06,2022-06,1,6,47637,PADIERNA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,8,2021-06,2022-06,2,10,13284,PANTITLAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,6,2021-06,2022-06,1,7,45966,PLATEROS,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,0,0,5611,POLANCO-CASTILLO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,5,2021-06,2022-06,0,5,12243,PORTALES,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-1,2021-06,2022-06,1,0,36217,PRADERA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,2,6,43116,QUETZAL,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,1,5,30408,QUIROGA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,4141,REVOLUCION-ALAMEDA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,7814,ROMA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,6,7,7894,SAN ANGEL,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,3,2021-06,2022-06,1,4,23185,SAN JERONIMO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,1,1,37989,SANTA CRUZ,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,1,3,40065,SANTA FE,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-2,2021-06,2022-06,4,2,31666,SOTELO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,2,4,18220,TACUBA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,0,4,13102,TACUBAYA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,4,8,14638,TAXQUEÑA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,1,1,13235,TECOMITL,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,0,2021-06,2022-06,2,2,25702,TEOTONGO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,4,2021-06,2022-06,1,5,43511,TEPEPAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,1,3,9609,TEPEYAC,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,15,2021-06,2022-06,2,17,36811,TEZONCO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-1,2021-06,2022-06,1,0,17800,TICOMAN,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,-1,2021-06,2022-06,1,0,18974,TLACOTAL,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,3,2021-06,2022-06,0,3,16096,TLATELOLCO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,10,2021-06,2022-06,1,11,27528,UNIVERSIDAD,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,2,2021-06,2022-06,1,3,24813,XOTEPINGO,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,6,2021-06,2022-06,2,8,31280,ZAPOTITLA,2020-07,2021-07
ROBO A BORDO DE MICROBUS S.V.,1,2021-06,2022-06,0,1,8502,ZARAGOZA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,3,4,22143,ABASTO-REFORMA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,3,2021-06,2022-06,3,6,31805,ALPES,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,4,2021-06,2022-06,4,8,4441,ANGEL-ZONA ROSA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,1,2,30506,ARAGON,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-5,2021-06,2022-06,5,0,22309,ARENAL,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,1,1,12999,ASTURIAS,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,3,2021-06,2022-06,3,6,9110,BUENAVISTA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,1,2,13501,CHAPULTEPEC,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,1,2,13900,CHURUBUSCO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-1,2021-06,2022-06,3,2,23963,CLAVERIA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,3,2021-06,2022-06,0,3,9495,COAPA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,3,1,12135,CONGRESO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,0,1,15715,CONSULADO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,2,0,10129,CORREDOR-CENTRO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,2,2,14705,COYOACAN,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,0,0,24009,CUAJIMALPA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-3,2021-06,2022-06,5,2,30453,CUAUTEPEC,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,0,1,20511,CUCHILLA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,0,0,11851,CUITLAHUAC,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,3,4,18589,CULHUACAN,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,5,3,7971,DEL VALLE,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,3,2021-06,2022-06,0,3,24310,DINAMO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,1,1,20452,EL YAQUI,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,4,4,32788,ESTRELLA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,2,2021-06,2022-06,1,3,38354,FUENTE,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,2,3,19129,GRANJAS,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,3,1,21186,HORMIGA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,2,3,33196,HUIPULCO-HOSPITALES,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,3,1,16877,IZTACCIHUATL,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,2,0,30260,LA NORIA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,0,0,14968,LA RAZA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,4,4,16393,LINDAVISTA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,2,2021-06,2022-06,1,3,12330,MERCED-BALBUENA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,1,1,24021,MILPA ALTA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,3,2021-06,2022-06,1,4,5681,MIXCALCO-HERALDO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,2,2021-06,2022-06,1,3,33579,MIXQUIC,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-1,2021-06,2022-06,7,6,12102,MOCTEZUMA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,1,1,12649,MORELOS,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-2,2021-06,2022-06,5,3,7856,NAPOLES,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-1,2021-06,2022-06,3,2,9808,NARVARTE-ALAMOS,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-1,2021-06,2022-06,2,1,6406,NATIVITAS,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,19,2021-06,2022-06,13,32,,NO ESPECIFICADO,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,1,2021-06,2022-06,6,7,24085,OASIS,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,0,2021-06,2022-06,3,3,47637,PADIERNA,2020-07,2021-07
ROBO A BORDO DE TAXI C.V.,-3,2021-06,2022-06,5,2,13284,PANTITLAN,2020-07,2021-07
